period,end_date
1QFY-2015,2014-05-03
2QFY-2015,2014-08-02
3QFY-2015,2014-11-01
4QFY-2015,2015-01-31
1QFY-2016,2015-05-02
2QFY-2016,2015-08-01
3QFY-2016,2015-10-31
4QFY-2016,2016-01-30
1QFY-2017,2016-04-30
2QFY-2017,2016-07-30
3QFY-2017,2016-10-29
4QFY-2017,2017-01-28
1QFY-2018,2017-04-29
2QFY-2018,2017-07-29
3QFY-2018,2017-10-28
4QFY-2018,2018-02-03
1QFY-2019,2018-05-05
2QFY-2019,2018-08-04
3QFY-2019,2018-11-03
4QFY-2019,2019-02-02
1QFY-2020,2019-05-04
2QFY-2020,2019-08-03
3QFY-2020,2019-11-02
4QFY-2020,2020-02-01
1QFY-2021,2020-05-02
2QFY-2021,2020-08-01
3QFY-2021,2020-10-31
4QFY-2021,2021-01-30
1QFY-2022,2021-05-01
2QFY-2022,2021-07-31
3QFY-2022,2021-10-30
4QFY-2022,2022-01-29
1QFY-2023,2022-04-30
2QFY-2023,2022-07-30
3QFY-2023,2022-10-29
4QFY-2023,2023-01-28
1QFY-2024,2023-04-29
2QFY-2024,2023-07-29
3QFY-2024,2023-10-28
4QFY-2024,2024-02-03
